1/Human Resources (HR)	
A, R	النخيل من ناحية التوثيق و المتبرعبن ، الكلى من ناحية المستفيدين و الشركاء في المقاطعة 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
A, R	
	
	
	
	
	
	
A, R	
	
	
R	
R	
	
	
	
	
12/Volunteer Management	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
	
A, R	
A, R	
	
A, R	
A, R	
A, R	
A, R	
A, R	
A, R	
	
	
	
	
A, R	
A, R	
	
A, R	الانشطة التطوعية و السلوك التطوعي 
	
	
	
	
	
	
	
	
	
	
	
	
	
A, R	
	
	
A, R	
	
	
	
	
	
A, R	
A, R	
	
	
R	
R	
R	
A, R	
	
A, R	
	
	
S	
	
	
	
	
	
	
	
	
R	
R	
	
	
R	
R	
	
	
	
A, R	
	
	
R	
R	
	
	
	
	
13/LMF Community	
	
R	
R	متطوعو التنظيم 
	
	
	
R	متطوعو التنظيم 
	
R	متطوعو التنظيم 
R	
	
	
R	
	
	
	
R	
	
R	
	
R	
R	
	
R	
R	
R	
R	
R	
R	
	
	
	
	
	
R	
R	
	بيئة العمل و الايفنتات 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
R	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
R	
A, R	
S	
S	
R	
R	
	
	
	
	
14/Security&Safety	
	
S	التصاريح الامنية
	
	
	
	
	
	
S	التصاريح الامنية
	
	
	
	
	
	
	
	
	
S	التصاريح الامنية
	
	
S	التصاريح الامنية
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
A, R	
R	
	
	
R	
R	
	
	
	
	
15/Offices&P	
R	
A, R	
A, R	
A, R	
A, R	
R, A	
R, A	
R, A	
A, R	
A, R	
R	جهات محلية 
A, R	
R	
A, R	
	
R	
R	
A, R	
	
	
	
	
	
A, R	
A, R	
	
	
	
	
	
	
R	
A, R	
R	
A, R	
	
A, R	
R	محلية
	
R, A	
	
R	
A, R	
	
	
	
	
	
	
	
A, R	
	
	
A, R	
	
	
	
	
	
A, R	
A, R	
	
	
R	
R	
R	
A, R	
	
A, R	
	
	
	
	
	
	
	
	
	
	
	
R	
R	
	
R	
R	
R	
	
	
A, R	
A, R	
	
	
R	
R	
	
	
	
	
16/SiS	
	
	
	
	
	
S, C	
S, C	
R	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
C, S	
	
	
	
S	
	
R	
	
	
	
C, S	
C, S	
S	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
S, I	
	
S	
S	
A, R	
A, R	
C, S	
	
	
	
	
	
